"Farming","multiple_choice","What Farming level is required to plant a Redwood tree?","85|88|90|93","90","","Redwood trees require level 90 Farming and are located in the Farming Guild."
"Farming","true_false","Oak trees require a lower Farming level than Willow trees.","","true","","Oak trees require level 15 Farming while Willow trees require level 30 Farming."
"Farming","true_false","Strawberries require a higher Farming level than Sweetcorn.","","true","","Strawberries require level 31 Farming while Sweetcorn only requires level 20."
"Farming","multiple_choice","What Farming level is required to access the intermediate tier of the Farming Guild?","55|60|65|70","65","","Level 65 Farming is required to enter the intermediate tier of the Farming Guild."
"Farming","multiple_choice","What Farming level is required to plant Avantoe herbs?","45|48|50|53","50","","Avantoe requires level 50 Farming to plant in an herb patch."
"Farming","multiple_choice","What Farming level is required to plant a Palm tree?","63|66|68|72","68","","Palm trees require level 68 Farming to plant in a fruit tree patch."
"Farming","multiple_choice","What Farming level is required to plant Guam leaf?","5|7|9|12","9","","Guam leaf (from guam seeds) requires level 9 Farming — the lowest-level herb."
"Farming","multiple_choice","What Farming level is required to plant a Celastrus tree (for battlestaff making)?","80|83|85|88","85","","Celastrus trees require level 85 Farming and grow battlestaves when harvested."
"Farming","free_response","What Farming level is required to plant a Hespori seed in the Hespori patch?","","65","hespori|level 65|65 farming","Hespori seeds require level 65 Farming and the patch is located inside the Farming Guild."
"Construction","multiple_choice","What Construction level is required to build a Mahogany table?","48|50|52|55","52","","The Mahogany table requires level 52 Construction and is one of the best training methods."
"Construction","multiple_choice","What Construction level is required to hire a Demon butler?","45|48|50|52","50","","The Demon butler requires level 50 Construction and is the most efficient servant."
"Construction","multiple_choice","What Construction level is required to build an Oak larder?","28|33|38|43","33","","The Oak larder requires level 33 Construction and is a popular early training method."
"Construction","multiple_choice","What Construction level is required to move your house to Yanille?","45|50|55|60","50","","Moving your player-owned house to Yanille requires level 50 Construction."
"Construction","multiple_choice","What Construction level is required to build an Ornate jewellery box?","86|88|91|93","91","","The Ornate jewellery box requires level 91 Construction and holds all teleport jewellery."
"Construction","multiple_choice","What Construction level is required to build a Portal nexus?","67|70|72|75","72","","The Portal nexus requires level 72 Construction and can hold up to 8 portal destinations."
"Construction","multiple_choice","What Construction level is required to build a Fairy ring in your garden?","80|83|85|88","85","","The Fairy ring in the Superior garden requires level 85 Construction to build."
"Construction","multiple_choice","What Construction level is required to build the Achievement gallery room?","75|78|80|83","80","","The Achievement gallery requires level 80 Construction and houses the jewellery box and other displays."
"Construction","multiple_choice","What Construction level is required to move your house to Prifddinas?","65|68|70|72","70","","Moving to Prifddinas requires level 70 Construction and completion of Song of the Elves."
"Construction","multiple_choice","What Construction level is required to build a Spirit tree and fairy ring combo?","90|92|95|98","95","","The combined Spirit tree and fairy ring requires level 95 Construction — the highest Construction requirement."
"Construction","true_false","The Superior garden room requires level 65 Construction to build.","","true","","The Superior garden requires level 65 Construction (or 60 with a boost) to build."
"Construction","true_false","A Demon butler can be hired at level 40 Construction.","","false","","The Demon butler requires level 50 Construction to hire — the regular Butler only requires level 40."
"Construction","multiple_choice","What Construction level is required to build a Bronze cannon on a ship?","20|24|28|32","28","","A Bronze cannon in the Sailing context requires level 28 Sailing (with Con 21) — but for POH the first cannon is a different context."
"Construction","multiple_choice","What Construction level is required to build a Fancy jewellery box?","82|84|86|88","86","","The Fancy jewellery box requires level 86 Construction and holds more teleport options than the Basic box."
"Construction","multiple_choice","What Construction level is required to build a Basic jewellery box?","78|81|83|85","81","","The Basic jewellery box requires level 81 Construction and stores several teleport jewellery items."
"Construction","multiple_choice","What Construction level is required to build a Portal chamber?","45|50|55|60","50","","The Portal chamber requires level 50 Construction and can hold up to 3 portal destinations."
"Construction","multiple_choice","What Construction level is required to move your house to Hosidius?","20|25|30|35","25","","Moving to Hosidius requires level 25 Construction (as well as having visited Great Kourend)."
"Construction","free_response","What Construction level is required to move your house to Brimhaven?","","40","brimhaven|level 40|40 construction","Brimhaven requires level 40 Construction to move your player-owned house there."
"Hunter","multiple_choice","What Hunter level is required to catch Black chinchompas?","65|70|73|78","73","","Black chinchompas require level 73 Hunter to catch using box traps in the Wilderness."
"Hunter","multiple_choice","What Hunter level is required to catch Red (Carnivorous) chinchompas?","58|63|68|73","63","","Carnivorous (red) chinchompas require level 63 Hunter to catch using box traps."
"Hunter","multiple_choice","What Hunter level is required to catch a Herbiboar on Fossil Island?","75|78|80|83","80","","The Herbiboar requires level 80 Hunter (and 31 Herblore) to track using the noose wand on Fossil Island."
"Hunter","multiple_choice","What Hunter level is required to catch a Moonlight antelope?","85|88|91|95","91","","Moonlight antelopes require level 91 Hunter to catch using pitfall traps."
"Hunter","multiple_choice","What Hunter level is required to catch Black salamanders?","62|65|67|70","67","","Black salamanders require level 67 Hunter to catch using net traps in the Wilderness."
"Hunter","multiple_choice","What Hunter level is required to catch Chinchompas (grey)?","48|53|58|63","53","","Grey chinchompas require level 53 Hunter to catch using box traps; the Eagles' Peak quest must be completed."
"Hunter","multiple_choice","What Hunter level is required to catch a Sabre-toothed kyatt?","50|55|60|65","55","","The Sabre-toothed kyatt requires level 55 Hunter to catch using pitfall traps in the Rellekka Hunter area."
"Hunter","multiple_choice","What Hunter level is required to use a Gyr falcon for Falconry?","38|40|43|47","43","","Falconry at the Piscatoris Hunter area requires level 43 Hunter and a Gyr falcon."
"Hunter","multiple_choice","What Hunter level is required to catch a Swamp lizard?","24|27|29|33","29","","Swamp lizards require level 29 Hunter to catch using net traps in Morytania."
"Hunter","multiple_choice","What Hunter level is required to catch a Tropical wagtail?","15|17|19|22","19","","Tropical wagtails require level 19 Hunter to catch using bird snares in Feldip Hills."
"Hunter","multiple_choice","What Hunter level is required to catch Sapphire glacialis butterflies?","20|25|30|35","25","","Sapphire glacialis butterflies require level 25 Hunter to catch using a butterfly net."
"Hunter","multiple_choice","What Hunter level is required to catch a Sunlight antelope?","67|70|72|75","72","","Sunlight antelopes require level 72 Hunter to catch using pitfall traps."
"Hunter","true_false","Red salamanders require a higher Hunter level than Black salamanders.","","false","","Red salamanders require level 59 Hunter while Black salamanders require level 67 — Black salamanders are higher."
"Hunter","true_false","The Crimson swift can be caught at level 1 Hunter using a bird snare.","","true","","The Crimson swift is the lowest-level bird, requiring only level 1 Hunter to catch."
"Hunter","multiple_choice","What Hunter level is required to catch a Spotted kebbit via Falconry?","38|43|47|51","43","","Spotted kebbits are caught at level 43 Hunter using falconry in the Piscatoris Hunter area."
"Hunter","multiple_choice","What Hunter level is required to catch a Moonlight moth?","70|72|75|78","75","","Moonlight moths require level 75 Hunter to catch using a butterfly net."
"Hunter","multiple_choice","What Hunter level is required to catch a Greater siren via Aerial fishing?","82|85|87|90","87","","Greater sirens require level 87 Hunter (and 43 Fishing) to catch via Aerial fishing at Lake Molch."
"Hunter","multiple_choice","What Hunter level is required to catch an Imp using a Magic box?","66|68|71|74","71","","Imps require level 71 Hunter to catch using a Magic box — the catch is released for a baby impling."
"Hunter","free_response","What Hunter level is required to catch a Barb-tailed kebbit using a deadfall trap?","","33","barb-tailed kebbit|deadfall|level 33|33 hunter","Barb-tailed kebbits require level 33 Hunter to catch via deadfall trapping in Feldip Hills."
"Hunter","multiple_choice","What Hunter level is required to catch a Spined larupia?","26|31|36|41","31","","Spined larupias require level 31 Hunter to catch using pitfall traps in Feldip Hills."
"Sailing","multiple_choice","What Sailing level is required to access a Sloop?","35|45|50|60","50","","The Sloop is unlocked at level 50 Sailing and is the largest ship type currently available."
"Sailing","multiple_choice","What Sailing level is required to unlock a Skiff?","10|15|20|25","15","","The Skiff is unlocked at level 15 Sailing and is required for the Barracuda Trials."
"Sailing","multiple_choice","What Sailing level is required to dock at Charred Island to fight Lava strykewyrms?","55|60|64|67","60","","Charred Island requires level 60 Sailing to dock at and is home to Lava strykewyrms."
"Sailing","multiple_choice","What Sailing level is required to start the first Barracuda Trial (The Tempor Tantrum)?","20|25|30|35","30","","The Tempor Tantrum is the first Barracuda Trial and requires level 30 Sailing."
"Sailing","multiple_choice","What Sailing level is required to dock at Grimstone to access Frost dragons?","82|85|87|90","87","","Grimstone requires level 87 Sailing to dock at and features Frost dragons and an Ancient Furnace."
"Sailing","multiple_choice","At what Sailing level do players unlock their 5th simultaneous port task slot?","76|80|84|88","84","","The 5th active task slot unlocks at level 84 Sailing."
"Sailing","multiple_choice","What Sailing level is required to dock at The Great Conch?","40|45|50|55","45","","The Great Conch requires level 45 Sailing (plus completion of the Troubled Tortugans quest) to dock."
"Sailing","multiple_choice","What Sailing level is required to dock at Sunbleak Island for Ironwood trees?","67|70|72|76","72","","Sunbleak Island requires level 72 Sailing and an adamant helm or better for the tangled kelp hazard."
"Sailing","multiple_choice","What Sailing level is required to build a Wind catcher facility?","48|53|56|60","53","","The Wind catcher requires level 53 Sailing (and Construction 47) to build on your ship."
"Sailing","multiple_choice","What Sailing level is required to build a Teleport focus on your ship?","50|53|55|58","55","","The Teleport focus requires level 55 Sailing (and Construction 49) to build on your ship."
"Sailing","multiple_choice","What Sailing level is required to start the second Barracuda Trial (The Jubbly Jive)?","48|52|55|58","55","","The Jubbly Jive is the second Barracuda Trial and requires level 55 Sailing."
"Sailing","multiple_choice","What Sailing level is required to start the third Barracuda Trial (The Gwenith Glide)?","67|70|72|75","72","","The Gwenith Glide is the third Barracuda Trial and requires level 72 Sailing."
"Sailing","true_false","Boosts can be used to dock at new mooring points and access new islands in Sailing.","","false","","Boosts cannot be used to dock at new mooring points — the real level is always required for island access."
"Sailing","true_false","Players start Sailing with a free Raft obtained from the Pandemonium quest.","","true","","The Raft is given free as a reward from the Pandemonium quest which introduces the Sailing skill."
"Sailing","multiple_choice","What Sailing level is required to build a Bronze salvaging hook on your ship?","10|15|20|24","15","","The Bronze salvaging hook requires level 15 Sailing (and Construction 1) to build."
"Sailing","multiple_choice","What Sailing level unlocks 2 simultaneous active port tasks?","4|5|7|10","7","","Players unlock their second simultaneous port task slot at level 7 Sailing."
"Sailing","multiple_choice","What Sailing level is required to dock at Ynysdail to fight Aquanites?","68|71|73|76","73","","Ynysdail requires level 73 Sailing and an adamant keel for the crystal-flecked waters hazard."
"Sailing","free_response","What is the name of the Sailing skilling pet?","","Soup","soup|sailing pet|skilling pet","The Sailing skilling pet is named Soup and can be obtained from various Sailing activities."
"Sailing","multiple_choice","What Sailing level is required to build the Rope trawling net for deep sea trawling?","50|53|56|60","56","","The Rope trawling net requires level 56 Sailing (and Construction 45) to build."
"Sailing","multiple_choice","What Sailing level is required to dock at Drumstick Isle for Rosewood trees?","74|77|79|82","79","","Drumstick Isle requires level 79 Sailing and is home to Rosewood trees for Farming."
"Construction","multiple_choice","What Construction level is required to build a Chapel room in your player-owned house?","40|45|50|55","45","","The Chapel room requires level 45 Construction (or 40 with a boost) to build and allows altar training."
"Construction","multiple_choice","What Construction level is required to build a Costume room in your house?","37|40|42|45","42","","The Costume room requires level 42 Construction (or 37 with a boost) and stores various outfits."
"cat","type","question","options","answer","keywords","explanation"
"Wiki Fun Facts","mc","In the Fremennik Trials, what does Thorvald offer to vote for you if you bring him instead of fighting?","5 sardines|3 lobsters|A gold ring|10 coins","5 sardines","Fremennik Trials|Thorvald|sardines|combat challenge","Thorvald says he will vote for you if you bring him 5 sardines, though he was 'only joking' the whole time."
"Wiki Fun Facts","tf","In 2003, spaghetti code from Gertrude's Cat quest broke the desert heat effect in RuneScape Classic permanently.","True|False","True","Gertrude's Cat|desert heat|RuneScape Classic|spaghetti code","Code from Gertrude's Cat accidentally broke the desert heat effect in RSC in 2003 and it never worked again."
"Wiki Fun Facts","tf","Some scenery in OSRS has unique examine text defined in config files but can never be seen by players because it has no Examine option.","True|False","True","examine text|scenery|config files|unobtainable","There is funny unique examine text for certain scenery objects but no Examine option was ever given to them."
"Wiki Fun Facts","mc","What is notable about the font used for the original RuneScape logo?","It is also used for nearly half of all Asian-themed restaurant signage in the US|It was designed by Jagex in 1999|It is the same font as the Harry Potter logo|It was banned in the EU for copyright reasons","It is also used for nearly half of all Asian-themed restaurant signage in the US","RuneScape logo|font|Asian restaurants","The font used for the original RuneScape logo is also found on the signage of nearly half of all Asian-themed restaurants in the United States."
"Wiki Fun Facts","mc","Why do underground monsters drop chaos talismans while surface monsters drop nature talismans?","The game's definition of 'underground' dates to 2003 and is broken|Chaos runes are stronger and only drop in dungeons|It was a deliberate balance decision by Jagex|Underground monsters have higher combat levels","The game's definition of 'underground' dates to 2003 and is broken","chaos talisman|nature talisman|underground|monster drops","Monsters in 'underground' areas give chaos talismans, but the game's definition of underground hasn't been updated since 2003 and is broken in many ways."
"Wiki Fun Facts","mc","What happens if you use the Ring of Endurance on the archpriest unicorn in Hallowed Sepulchre?","It unlocks secret dialogue about the ring's origin|It gives bonus XP for the next lap|It teleports you to the start|It gives a cosmetic reward","It unlocks secret dialogue about the ring's origin","Ring of Endurance|Hallowed Sepulchre|archpriest unicorn|secret dialogue","Using the Ring of Endurance on the archpriest unicorn unlocks special dialogue explaining where the ring came from."
"Wiki Fun Facts","tf","The yellow circle shape from the Eyes of Glouphrie quest has never been obtainable due to a series of coincidences.","True|False","True","Eyes of Glouphrie|yellow circle|unobtainable","Due to a series of unfortunate coincidences the yellow circle shape from Eyes of Glouphrie has never been obtainable."
"Wiki Fun Facts","mc","Why is the overhead dialogue of level-1 Miscellania citizens rarely seen?","They have 1 HP and killing them costs about 5% Miscellania favour|The dialogue is hidden behind a quest lock|It only appears during the Throne of Miscellania quest|The citizens never fight back","They have 1 HP and killing them costs about 5% Miscellania favour","Miscellania|citizens|overhead dialogue|favour","Citizens have only 1 HP and killing them costs approximately 5% Miscellania favour so players almost never do it."
"Wiki Fun Facts","mc","What is notable about the hill between the waterfall and the Grand Tree?","It goes from height value 0 to 255 in a single tile|It is the tallest structure in the game|It can only be climbed with 70 Agility|It contains a hidden cave","It goes from height value 0 to 255 in a single tile","Grand Tree|waterfall|terrain|height value","The hill between the waterfall and Grand Tree is the steepest walkable terrain in OSRS going from height 0 to 255 in one tile."
"Wiki Fun Facts","mc","The inaccessible ladder in the Smoke Dungeon is believed to be a remnant of work done by whom?","An intern who worked on Desert Treasure|A player who hacked the game|A Jagex developer who was later fired|The original RSC development team","An intern who worked on Desert Treasure","Smoke Dungeon|ladder|Desert Treasure|inaccessible","The ladder in the Smoke Dungeon is conjectured to be one of few things that made it in from a version of Desert Treasure made by 'the intern'."
"Wiki Fun Facts","tf","There is a single cave goblin miner in the Dorgeshuun mine that still uses pre-2007 goblin chatheads.","True|False","True","cave goblin|Dorgeshuun|chatheads|pre-2007","One cave goblin miner in the Dorgeshuun mine still uses the old janky pre-2007 goblin chatheads."
"Wiki Fun Facts","mc","What is the unusual Agility XP method in Rogues' Den?","Running back and forth on an obstacle that drains Agility level gives 22k XP per hour|Pickpocketing guards gives Agility XP|The safe cracking minigame gives passive Agility XP|Standing still in the maze restores Agility XP","Running back and forth on an obstacle that drains Agility level gives 22k XP per hour","Rogues Den|Agility|XP|drain","In Rogues Den an obstacle drains your Agility level and gives 12 XP per drain so the cheese strat is running back and forth for about 22k XP an hour."
"Wiki Fun Facts","mc","What happened to the NPC 'Docky' from RuneScape Classic who operated the Port Khazard to Brimhaven boat?","He was not included in the RS2 transition and was forgotten|He was replaced by a new NPC|He was removed due to a player complaint|He was merged into another NPC","He was not included in the RS2 transition and was forgotten","Docky|Port Khazard|Brimhaven|boat|RuneScape Classic","Docky inexplicably was not included in the RSC to RS2 transition though his boat survived and still exists in OSRS today."
"Wiki Fun Facts","mc","What is the chance of having the same Fremennik name as the boatman who takes you to Waterbirth Island?","1/256|1/100|1/512|1/64","1/256","Fremennik name|Waterbirth Island|boatman|dialogue","There is a 1 in 256 chance of having the same Fremennik name as the boatman giving you a special line of dialogue."
"Wiki Fun Facts","mc","What was RuneScape's first discontinued item?","A random key from Shield of Arrav|A party hat|A Santa hat|The original rubber chicken","A random key from Shield of Arrav","discontinued item|Shield of Arrav|key|Hungarian forum","The first discontinued item was an obscure key from Shield of Arrav only known about due to a Hungarian RuneScape forum from 2001."
"Wiki Fun Facts","mc","When skillcapes were released in 2006, which skill required a brand new NPC to be created as its cape seller because no appropriate NPC existed?","Slayer|Mining|Fishing|Thieving","Slayer","skillcapes|2006|NPC|Slayer","When skillcapes launched 21 of 22 skills had existing NPCs but Slayer was considered so useless that a new NPC had to be added to sell the cape."
"Wiki Fun Facts","mc","In Pyramid Plunder, what happens to the 'correct' tomb door when someone starts a new game?","It gets randomized for all players on the world|It resets to the same door every time|It stays open for 30 seconds|It is chosen by the game host","It gets randomized for all players on the world","Pyramid Plunder|tomb door|randomized|world","Every time someone starts a Pyramid Plunder game the correct door is randomized for all players on that world."
"Wiki Fun Facts","mc","What is the 'event rpg' weapon model actually made of?","9 really tiny doors|Crystal shards|Old scimitar parts|Broken staff pieces","9 really tiny doors","event rpg|model|doors|weapon","The model for the event rpg is made up of 9 really tiny doors and you can even see the handles if you zoom in."
"Wiki Fun Facts","mc","What were the satchels from Creature Creation originally planned to be?","Lunchboxes with little animal stickers|Colored pouches|Magic bags|Enchanted sacks","Lunchboxes with little animal stickers","Creature Creation|satchels|lunchboxes|design","The satchels from Creature Creation were originally designed to be lunchboxes with little animal stickers but were changed at the last minute."
"Wiki Fun Facts","tf","After Varrock's 2007 graphical rework, one old green-and-yellow flag was missed and remained in the game for 18 years.","True|False","True","Varrock|graphical rework|flag|2007","Varrock's 2007 rework replaced flags with a new colour scheme but missed one flag in a far corner that evaded detection for 18 years."
"Wiki Fun Facts","mc","What did Jagex do to pentagram scenery in 2006?","Deleted it and replaced it with a goofy demon and then a blobby blue thing|Moved it to the Wizards Tower|Added it to a new quest|Retextured it to look less occult","Deleted it and replaced it with a goofy demon and then a blobby blue thing","pentagram|occult|Jagex|2006|scenery","In 2006 Jagex deleted all occult pentagram scenery replacing it first with a goofy demon and then a boring blobby blue thing for unknown reasons."
"Wiki Fun Facts","tf","Jagex originally intended for all monsters to block player pathing like the gorilla guards in Ape Atoll do.","True|False","True","gorilla guards|Ape Atoll|pathing|movement","Jagex originally intended all monsters to block pathing like the Ape Atoll gorilla guards do but had to be convinced this was a bad idea."
"Wiki Fun Facts","mc","What can you find in the gallows at Draynor Manor under a specific condition?","A spooky dead guy hanging in the noose briefly after logging in next to it|A skeleton key|A treasure chest|A lever to open a secret passage","A spooky dead guy hanging in the noose briefly after logging in next to it","Draynor Manor|gallows|dead guy|log in","If you log in right next to the Draynor Manor gallows there is a small chance you will see a dead guy hanging briefly."
"Wiki Fun Facts","mc","There is a barrel in the Varrock Sewers that contains a key. What does that key open?","A door in West Ardougne|A chest in Morytania|A safe in Varrock Palace|A trapdoor in Lumbridge","A door in West Ardougne","Varrock Sewers|barrel|key|West Ardougne","For unknown reasons there is a barrel in the Varrock Sewers that you can search for a key that opens a door in West Ardougne."
"Wiki Fun Facts","mc","What bug existed in the Dorgesh-Kaan food trading minigame shortly after its 2007 release?","Integer overflow let goblins accept absurd coin amounts like billions for a potato|Items could be duplicated infinitely|The shop restocked instantly|Goblins would pay in stackable coins","Integer overflow let goblins accept absurd coin amounts like billions for a potato","Dorgesh-Kaan|integer overflow|coins|bug|2007","After launch an integer overflow bug meant goblins would sometimes accept asking prices of billions of coins for ordinary food items."
"Wiki Fun Facts","tf","A half coconut in OSRS is always worth exactly half of a full coconut.","True|False","True","half coconut|coconut|value|price","A half coconut is always worth exactly half of a coconut in OSRS."
"Wiki Fun Facts","mc","What happened when Jagex tried to update the alch value of the discontinued wonky bird nest?","They accidentally updated its x-rotation instead|They removed it from the game|They made it tradeable again|They corrected the alch value successfully","They accidentally updated its x-rotation instead","bird nest|discontinued|alch value|rotation|bug","Jagex tried to update the alch value of the discontinued wonky bird nest but accidentally changed its x-rotation instead."
"Wiki Fun Facts","mc","Why can't you use the poll booth in Bandit Camp if you're wearing Saradomin equipment?","The bandits don't like your attire|Your alignment is too high|Saradomin items are too heavy|The booth requires 40 Ranged to use","The bandits don't like your attire","Bandit Camp|poll booth|Saradomin|attire","The bandits prevent you from using the poll booth if you wear Saradomin equipment because they don't like your attire."
"Wiki Fun Facts","mc","How often does the crystal crown in the Prifddinas clothing shop restock?","Once every 250 million game ticks (about 4.8 years)|Once per day|Once per month|Never - it is a one-time stock","Once every 250 million game ticks (about 4.8 years)","crystal crown|Prifddinas|clothing shop|restock|game ticks","The crystal crown restocks once every 250 million game ticks which works out to approximately 4.8 years."
"Wiki Fun Facts","mc","What service does Fairy Nuff in Zanaris provide that becomes impossible after starting Fairytale I?","Healing hitpoints in exchange for cut gems|Selling fairy dust|Recharging dragonstone jewellery|Identifying herbs","Healing hitpoints in exchange for cut gems","Fairy Nuff|Zanaris|cut gems|heal|Fairytale I","Fairy Nuff runs an obscure shop that heals hitpoints for cut gems but this becomes impossible to use after starting Fairytale I."
"Wiki Fun Facts","mc","If a specific variable from the Forgettable Tale quest is set to 1, what does the Drunken Dwarf in Keldagrim become?","A wandering kebab|A chicken|An invisible NPC|A rock","A wandering kebab","Forgettable Tale|Drunken Dwarf|Keldagrim|kebab|variable","If a specific quest variable from Forgettable Tale is set to 1 the Drunken Dwarf transforms into a wandering kebab."
"Wiki Fun Facts","mc","For the entire first year of RuneScape, what was the examine text for a tuna?","Wow|A big fish|Smells fishy|Not bad","Wow","tuna|examine text|RuneScape Classic|comma bug","Due to a comma-separation bug the examine text for tuna was simply 'Wow' for the entire first year of RuneScape."
"Wiki Fun Facts","tf","Your wily cat will insult you if you wear a dragon chainbody.","True|False","True","wily cat|dragon chainbody|dialogue|insult","Your wily cat will give you grief if you wear a dragon chainbody."
"Wiki Fun Facts","mc","What can happen if you try burying zogre bones in Jiggig?","A skogre may rise and attack you|You receive a curse|You get teleported out|The bones turn to dust","A skogre may rise and attack you","zogre bones|Jiggig|skogre|burying","If you bury zogre bones in Jiggig there is a small chance that a skogre will rise from the grave and attack you."
"Wiki Fun Facts","mc","How much Cooking XP do you get from superheating jogre bones?","25 XP|0 XP|100 XP|50 XP","25 XP","jogre bones|superheat|Cooking XP|Magic","You can superheat jogre bones for some reason and it grants 25 Cooking XP."
"Wiki Fun Facts","tf","The Varrock Museum wheelbarrow NPC has special dialogue if all the guards on his route are killed before he passes them.","True|False","True","Varrock Museum|wheelbarrow|guards|dialogue","The wheelbarrow NPC always greets guards on his route and has special interaction if you kill them all first."
"Wiki Fun Facts","mc","What partially-implemented emote can be found in the game client by changing one specific number?","Crab dance|Penguin waddle|Goblin stomp|Fairy twirl","Crab dance","emote|crab dance|client|hidden","There is a partially-implemented Crab dance emote that appears in the interface if you change one specific number in the game client."
"Wiki Fun Facts","tf","There are dozens of OSRS items that change their appearance subtly based on your character's hair color.","True|False","True","hair color|items|appearance|customization","Dozens of items in OSRS subtly change their look depending on your hair color."
"Wiki Fun Facts","mc","What was the fastest way to train Fletching in RuneScape Classic using a half-completed Tourist Trap?","Fletch prototype darts for 1237 XP each at level 99 (~800k XP per hour)|Fletch rune arrows for 2000 XP each|Use a special fletching altar|Complete the quest repeatedly","Fletch prototype darts for 1237 XP each at level 99 (~800k XP per hour)","Fletching|Tourist Trap|prototype darts|RuneScape Classic|XP","By half-completing Tourist Trap you could fletch prototype darts for 1237 XP each at level 99 which was about 800k XP per hour."
"Wiki Fun Facts","mc","What condition must be met before Cold War to see the hot air balloon and cannon crazy penguins at the Iceberg?","Complete both Enlightened Journey and Between a Rock|Have 70 Agility|Complete Cold War first|Bring a penguin suit","Complete both Enlightened Journey and Between a Rock","crazy penguins|Iceberg|Enlightened Journey|Between a Rock|Cold War","Some crazy penguin schemes (hot air balloon and cannon) only appear if you finish Enlightened Journey and Between a Rock before Cold War."
"Wiki Fun Facts","mc","What is strange about the Ardougne Thieving door by Ross's house?","You fail to open it 85% of the time even at level 99 Thieving|It requires 70 Thieving instead of 13|It is guarded by an invisible NPC|It gives no XP when opened","You fail to open it 85% of the time even at level 99 Thieving","Thieving|Ardougne|door|Ross|fail rate","Despite requiring only level 13 Thieving the door by Ross's house fails 99.3% of the time at that level and 85% of the time at level 99."
"Wiki Fun Facts","mc","What makes Goraks' drop table unusual when you have a pet kitten?","Having a pet kitten changes or fixes their otherwise broken drop table|Goraks drop kitten food|The kitten attacks Goraks|Goraks become passive with a kitten","Having a pet kitten changes or fixes their otherwise broken drop table","Goraks|drop table|kitten|pet","Goraks have the weirdest most broken drop table in RuneScape but it behaves differently if you play with your pet kitten."
"Wiki Fun Facts","mc","How much Miscellania approval rating does buying flowers from the Flower Girl give?","About 0.4%|About 2%|About 5%|It gives no approval","About 0.4%","Flower Girl|Miscellania|approval rating|flowers","Buying flowers from the Flower Girl in Miscellania gives about 0.4% approval rating and was completely undocumented until 2022 despite existing since 2004."
"Wiki Fun Facts","mc","How can rat traps be used to transfer cheese to an ironman?","Place cheese in a trap - another player or rat retrieves it and drops it nearby|Use the drop trick near the rat trap|Trade cheese directly through the rat trap interface|The rat trap bypasses trade restrictions","Place cheese in a trap - another player or rat retrieves it and drops it nearby","rat trap|cheese|ironman|transfer","Rat traps baited with cheese can be used to transfer infinite cheese to ironmen since the cheese drops when retrieved."
"Wiki Fun Facts","mc","What do the water valves in the Monkey Madness hangar unexpectedly control?","The water flow in the Elemental Workshop|The water in Ape Atoll prison|The flood mechanism in Gnome Stronghold|The fountain in Ardougne","The water flow in the Elemental Workshop","Monkey Madness|water valves|Elemental Workshop|quest","Water valves in the Monkey Madness hangar control water flow in the Elemental Workshop allowing EW1 progress without entering the workshop."
"Wiki Fun Facts","mc","Due to a wiki error, how long did the black shield (h2) trade on the Grand Exchange for 10x its actual value?","3 years|1 month|10 years|6 months","3 years","black shield h2|Grand Exchange|wiki error|price","A wiki error caused the black shield (h2) to trade at 10x its actual value on the Grand Exchange for 3 years."
"Wiki Fun Facts","mc","Swamp decay is an obscure status effect that hits you for 1-3 damage. Where else besides Morytania can it trigger?","A specific section of the Dig Site|The Karamja jungle|Parts of the Kharidian Desert|The Lunar Isle","A specific section of the Dig Site","swamp decay|Dig Site|Morytania|status effect","Swamp decay can also trigger in a very specific section of the Dig Site which is notably not a swamp."
"Wiki Fun Facts","mc","What can happen if you search specific crates in the Goblin Cave?","A chicken, rat, or spider pops out and everything attacks you|You find random loot|A goblin spawns and chases you|Nothing happens","A chicken, rat, or spider pops out and everything attacks you","Goblin Cave|crates|chicken|rat|spider|aggression","Searching specific crates in the Goblin Cave causes a creature to pop out and all nearby NPCs to attack you."
"Wiki Fun Facts","mc","In which three skills is it impossible to gain exactly 1 XP?","Runecrafting, Firemaking and Prayer|Mining, Smithing and Herblore|Agility, Thieving and Slayer|Construction, Farming and Hunter","Runecrafting, Firemaking and Prayer","XP|Runecrafting|Firemaking|Prayer|minimum XP","It is possible to get exactly 1 XP in every skill except Runecrafting, Firemaking and Prayer."
"Wiki Fun Facts","mc","In RuneScape Classic the rune spear was a ranged weapon. What happened if you threw it?","You permanently lost it|It returned to your inventory like a boomerang|It gave double XP|It could one-hit kill monsters","You permanently lost it","rune spear|RuneScape Classic|ranged weapon|throwable","The rune spear in RSC was a rare ranged weapon that you would permanently lose if you threw it."
"Wiki Fun Facts","tf","In RuneScape Classic you could permanently fail Romeo and Juliet by losing Juliet's letter twice.","True|False","True","Romeo and Juliet|RuneScape Classic|permanently fail|Juliet's letter","If you lost Juliet's letter twice in RSC she would refuse to give you another one and tell you to get lost permanently failing the quest."
"Wiki Fun Facts","mc","What secret can be found on the 'Ancient Wall' in the Legends' Quest dungeon?","A secret message that was not discovered until 2023|A hidden teleport portal|A rare item spawn|A shortcut to the end of the dungeon","A secret message that was not discovered until 2023","Legends Quest|Ancient Wall|secret message|dungeon","There is a secret message on the Ancient Wall in the Legends Quest dungeon that was not discovered until 2023."
